Year,Team,Actual,Miller,Mayock,Pick,Avg
2009,DET,Matthew Stafford,2,0,1,1
2009,STL,Jason Smith,1,0,2,0.5
2009,KAN,Tyson Jackson,12,7,3,9.5
2009,SEA,Aaron Curry,1,1,4,1
2009,NYJ,Mark Sanchez,12,4,5,8
2009,CIN,Andre Smith,0,1,6,0.5
2009,OAK,Darrius Heyward-Bey,11,1,7,6
2009,JAX,Eugene Monroe,7,2,8,4.5
2009,GNB,B.J. Raji,0,4,9,2
2009,SFO,Michael Crabtree,6,5,10,5.5
2009,BUF,Aaron Maybin,8,0,11,4
2009,DEN,Knowshon Moreno,16,4,12,10
2009,WAS,Brian Orakpo,3,5,13,4
2009,NOR,Malcolm Jenkins,0,0,14,0
2009,HOU,Brian Cushing,8,0,15,4
2009,SDG,Larry English,999,15,16,507
2009,TAM,Josh Freeman,999,999,17,999
2009,DEN,Robert Ayers,999,7,18,503
2009,PHI,Jeremy Maclin,12,2,19,7
2009,DET,Brandon Pettigrew,1,6,20,3.5
2009,CLE,Alex Mack,11,999,21,505
2009,MIN,Percy Harvin,3,5,22,4
2009,BAL,Michael Oher,15,13,23,14
2009,ATL,Peria Jerry,11,0,24,5.5
2009,MIA,Vontae Davis,3,6,25,4.5
2009,GNB,Clay Matthews,999,999,26,999
2009,IND,Donald Brown,999,999,27,999
2009,BUF,Eric Wood,999,4,28,501.5
2009,NYG,Hakeem Nicks,2,0,29,1
2009,TEN,Kenny Britt,999,999,30,999
2009,ARI,Beanie Wells,15,999,31,507
2009,PIT,Evander Hood,999,2,32,500.5
2010,STL,Sam Bradford,0,0,1,0
2010,DET,Ndamukong Suh,0,0,2,0
2010,TAM,Gerald McCoy,0,0,3,0
2010,WAS,Trent Williams,1,0,4,0.5
2010,KAN,Eric Berry,2,1,5,1.5
2010,SEA,Russell Okung,2,1,6,1.5
2010,CLE,Joe Haden,6,0,7,3
2010,OAK,Rolando McClain,10,7,8,8.5
2010,BUF,C.J. Spiller,6,0,9,3
2010,JAX,Tyson Alualu,999,999,10,999
2010,SFO,Anthony Davis,6,3,11,4.5
2010,SDG,Ryan Mathews,999,8,12,503.5
2010,PHI,Brandon Graham,6,2,13,4
